seqN,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,classe
1,0.11882010801828001,0.612380556709597,1.0,0.20170336518487744,0.11882010801828001,0.21146655587868715,0.612380556709597,1.0,0.20170336518487744,0.07436643124221022,1
2,0.03881278538812785,0.16245170354759395,0.7672989111345275,1.0,0.04513523006673691,0.0228310502283105,0.1422550052687039,0.2200561995082543,0.08693361433087461,0.09711977520196698,0
3,0.9919436052366566,0.8811681772406847,0.5297079556898288,0.8429003021148036,0.9144008056394763,0.500503524672709,0.6455186304128903,0.8449144008056395,0.9486404833836858,1.0,0
4,0.3362852481938942,1.0,0.52342111395945,0.05663015614075973,0.02540200419482638,0.19366115124679562,0.137963178746213,0.15823817292006526,0.081099976695409,0.02726637147518061,0
5,0.20974131903985085,1.0,0.52342111395945,0.02703332556513633,0.03076206012584479,0.1370309951060359,0.52342111395945,1.0,0.04031694243766022,0.03192728967606619,1
6,0.07436643124221022,0.20170336518487744,1.0,0.612380556709597,0.21146655587868715,0.11882010801828001,0.20170336518487744,1.0,0.612380556709597,0.11882010801828001,1
7,0.2100456621004566,0.09711977520196698,0.08693361433087461,0.2200561995082543,0.1422550052687039,0.0228310502283105,0.16385669125395153,1.0,0.7672989111345275,0.2100456621004566,0
8,1.0,0.9486404833836858,0.8449144008056395,0.6455186304128903,0.500503524672709,0.9144008056394763,0.8429003021148036,0.5297079556898288,0.8811681772406847,0.9919436052366566,0
9,0.02726637147518061,0.081099976695409,0.15823817292006526,0.137963178746213,0.19366115124679562,0.02540200419482638,0.05663015614075973,0.52342111395945,1.0,0.3362852481938942,0
10,0.03192728967606619,0.04031694243766022,1.0,0.52342111395945,0.1370309951060359,0.03076206012584479,0.02703332556513633,0.52342111395945,1.0,0.20974131903985085,1
11,0.02596053997923157,0.3412253374870197,1.0,0.45794392523364486,0.010384215991692628,0.03883696780893042,0.30072689511941847,0.8105919003115265,0.5040498442367601,0.02596053997923157,0
12,0.5040498442367601,0.8105919003115265,0.30072689511941847,0.03883696780893042,0.010384215991692628,0.45794392523364486,1.0,0.3412253374870197,0.03883696780893042,0.02596053997923157,0
13,0.02596053997923157,0.03883696780893042,0.3412253374870197,1.0,0.45794392523364486,0.010384215991692628,0.03883696780893042,0.30072689511941847,1.0,0.5040498442367601,1
14,0.5040498442367601,1.0,0.30072689511941847,0.03883696780893042,0.010384215991692628,0.45794392523364486,1.0,0.3412253374870197,0.03883696780893042,0.02596053997923157,1
15,0.11882010801828001,0.612380556709597,1.0,0.20170336518487744,0.11882010801828001,0.21146655587868715,0.612380556709597,1.0,0.20170336518487744,0.07436643124221022,1
16,0.2100456621004566,0.7672989111345275,1.0,0.16385669125395153,0.0228310502283105,0.1422550052687039,0.2200561995082543,0.08693361433087461,0.09711977520196698,0.2100456621004566,0
17,0.9919436052366566,0.8811681772406847,0.5297079556898288,0.8429003021148036,0.9144008056394763,0.500503524672709,0.6455186304128903,0.8449144008056395,0.9486404833836858,1.0,0
18,0.3362852481938942,1.0,0.52342111395945,0.05663015614075973,0.02540200419482638,0.19366115124679562,0.137963178746213,0.15823817292006526,0.081099976695409,0.02726637147518061,0
19,0.20974131903985085,1.0,0.52342111395945,0.02703332556513633,0.03076206012584479,0.1370309951060359,0.52342111395945,1.0,0.04031694243766022,0.03192728967606619,1
20,0.07436643124221022,0.20170336518487744,1.0,0.612380556709597,0.21146655587868715,0.11882010801828001,0.20170336518487744,1.0,0.612380556709597,0.11882010801828001,1
21,0.09711977520196698,0.08693361433087461,0.2200561995082543,0.1422550052687039,0.0228310502283105,0.04513523006673691,1.0,0.7672989111345275,0.16245170354759395,0.03881278538812785,0
22,1.0,0.9486404833836858,0.8449144008056395,0.6455186304128903,0.500503524672709,0.9144008056394763,0.8429003021148036,0.5297079556898288,0.8811681772406847,0.9919436052366566,0
23,0.02726637147518061,0.081099976695409,0.15823817292006526,0.137963178746213,0.19366115124679562,0.02540200419482638,0.05663015614075973,0.52342111395945,1.0,0.3362852481938942,0
24,0.03192728967606619,0.04031694243766022,1.0,0.52342111395945,0.1370309951060359,0.03076206012584479,0.02703332556513633,0.52342111395945,1.0,0.20974131903985085,1
25,0.03883696780893042,0.3412253374870197,1.0,0.45794392523364486,0.010384215991692628,0.03883696780893042,0.30072689511941847,0.8105919003115265,0.5040498442367601,0.30072689511941847,0
26,0.5040498442367601,0.8105919003115265,0.30072689511941847,0.03883696780893042,0.010384215991692628,0.45794392523364486,1.0,0.3412253374870197,0.02596053997923157,0.38072689511941847,0
27,0.02596053997923157,0.03883696780893042,0.3412253374870197,1.0,0.45794392523364486,0.010384215991692628,0.03883696780893042,0.30072689511941847,1.0,0.5040498442367601,1
28,0.5040498442367601,1.0,0.30072689511941847,0.03883696780893042,0.010384215991692628,0.45794392523364486,1.0,0.3412253374870197,0.03883696780893042,0.02596053997923157,1
29,0.0,0.0,0.07247355390501913,1.0,0.9885212694125591,0.9574611748818366,0.8928651811838848,0.19356290794508216,0.06932252982219221,0.0,1
